,SNOW,PLTR,PTON,NET,COIN,DASH,DDOG,ABNB,RBLX,XPEV,TXG,LI,U,RPRX,BILL,DT,BEKE,XP,PPD,BBIO,NVST,OSH,LU,CHNG,LSPD,ZI,CPNG,VRM,ASAN,WISH,ADPT,AZEK,LMND,GFL,PGNY,DNB,BMBL,CVAC,ACI,NCNO,KC,RKT,API,XM,SQSP,GDRX,OZON,OTLY,AGL,PLTK,PATH,SHC,AFRM,APP,REYN,WOOF,DADA,UPST,TSP,OCFT,MNSO,AI,RLX,TUYA,HAYW,PCOR,CD,YSG,EDR,CRCT,ABCL,DV,Cash/Other,DIDI,HOOD,n/a,MRNA,UBER,ZM,CRWD,PINS,BNTX,AVTR,LYFT,FTCH,GH,ESTC,PLAN,STNE,TW,YETI,BYND,FVRR,CHWY,BEAM,MRVI,TME,FOUR,S,LEVI,GLBE,RYAN,DLO,BZ,CFLT,MCFE,MNDY,YMM,MQ,CNM,LZ,PYCR,BHG,COMP,LSPD.TO,GFL.TO,RIVN,BSY,HTZ,SPT,DOCN,GFS,AMPL,DOCS,OLPX,ONON,INFA,ZIM,TWKS,LEGN,FRSH,GTLB,BRZE,NU,ALGM,HCP,SUM
07/23/2021,10.63,6.79,6.29,5.1,4.88,4.63,4.59,4.08,3.0,3.3,2.87,2.65,2.78,2.53,2.75,2.1,1.66,1.48,1.39,1.23,1.24,1.15,0.92,1.04,0.96,0.96,0.88,0.85,0.95,0.73,0.78,0.75,0.62,0.69,0.66,0.64,0.51,0.53,0.6,0.59,0.5,0.44,0.4,0.44,0.41,0.38,0.38,0.31,0.33,0.33,0.32,0.31,0.27,0.29,0.3,0.28,0.3,0.27,0.22,0.22,0.23,0.18,0.15,0.17,0.17,0.17,0.11,0.09,0.1,0.11,0.08,0.07,0.25,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/26/2021,10.9,6.64,5.85,5.3,4.82,4.69,4.63,4.11,3.03,3.43,2.88,2.79,2.84,2.43,2.82,2.12,1.63,1.46,1.36,1.22,1.25,1.17,0.86,1.02,0.97,0.96,0.86,0.82,1.0,0.67,0.76,0.74,0.63,0.7,0.65,0.62,0.56,0.54,0.58,0.59,0.51,0.44,0.38,0.44,0.42,0.38,0.37,0.3,0.33,0.33,0.32,0.31,0.27,0.29,0.29,0.28,0.3,0.27,0.21,0.22,0.23,0.18,0.14,0.17,0.17,0.17,0.11,0.09,0.1,0.11,0.07,0.06,0.25,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/27/2021,10.9,6.64,5.85,5.3,4.82,4.69,4.63,4.11,3.03,3.43,2.88,2.79,2.84,2.43,2.82,2.12,1.63,1.46,1.36,1.22,1.25,1.17,0.86,1.02,0.97,0.96,0.86,0.82,1.0,0.67,0.76,0.74,0.63,0.7,0.65,0.62,0.56,0.54,0.58,0.59,0.51,0.44,0.38,0.44,0.42,0.38,0.37,0.3,0.33,0.33,0.32,0.31,0.27,0.29,0.29,0.28,0.3,0.27,0.21,0.22,0.23,0.18,0.14,0.17,0.17,0.17,0.11,0.09,0.1,0.11,0.07,0.06,0.25,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/28/2021,10.87,6.61,5.98,5.49,4.83,4.87,4.7,4.11,3.04,3.27,2.86,2.58,2.89,2.45,2.91,2.18,1.46,1.49,1.38,1.21,1.24,1.17,0.79,1.02,1.0,0.98,0.87,0.83,0.99,0.65,0.79,0.76,0.61,0.72,0.66,0.62,0.56,0.54,0.59,0.58,0.48,0.44,0.3,0.43,0.44,0.39,0.37,0.29,0.34,0.33,0.33,0.31,0.27,0.3,0.29,0.29,0.28,0.27,0.2,0.2,0.22,0.18,0.12,0.16,0.17,0.18,0.1,0.08,0.1,0.11,0.07,0.06,0.24,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/29/2021,11.08,6.73,6.06,5.49,5.29,4.77,4.66,4.23,2.9,3.24,2.81,2.63,2.85,2.42,2.88,2.15,1.06,1.53,1.38,1.13,1.26,1.16,0.79,1.02,1.03,0.99,0.84,0.82,1.02,0.66,0.75,0.76,0.63,0.72,0.64,0.61,0.55,0.54,0.59,0.56,0.46,0.44,0.31,0.46,0.44,0.38,0.37,0.3,0.34,0.32,0.32,0.31,0.27,0.29,0.3,0.29,0.25,0.28,0.19,0.19,0.22,0.18,0.11,0.15,0.17,0.18,0.1,0.08,0.1,0.11,0.07,0.06,0.25,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/30/2021,11.09,6.76,6.15,5.57,5.19,4.78,4.77,4.32,2.91,2.83,2.88,2.32,2.85,2.45,2.93,2.2,1.08,1.51,1.41,1.1,1.29,1.2,0.79,1.04,1.05,1.0,0.87,0.85,0.93,0.68,0.74,0.76,0.64,0.74,0.64,0.62,0.54,0.53,0.6,0.57,0.45,0.45,0.32,0.45,0.43,0.4,0.37,0.28,0.36,0.32,0.32,0.31,0.28,0.3,0.3,0.3,0.23,0.27,0.19,0.18,0.2,0.18,0.11,0.16,0.18,0.18,0.09,0.08,0.11,0.1,0.07,0.06,0.26,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96999999999998
08/02/2021,11.06,6.75,5.84,5.67,5.08,4.62,4.72,4.27,2.87,3.03,2.88,2.63,3.07,2.33,2.89,2.19,1.0,1.53,1.38,1.09,1.28,1.22,0.77,1.02,1.03,0.99,0.85,0.83,0.98,0.71,0.75,0.75,0.63,0.74,0.65,0.62,0.56,0.52,0.63,0.56,0.5,0.44,0.36,0.45,0.4,0.4,0.37,0.29,0.35,0.32,0.33,0.32,0.28,0.31,0.29,0.29,0.26,0.29,0.18,0.19,0.22,0.18,0.11,0.17,0.17,0.18,0.1,0.09,0.1,0.1,0.07,0.06,0.25,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,11.06,6.75,5.84,5.67,5.08,4.62,4.72,4.27,2.87,3.03,2.88,2.63,3.07,2.33,2.89,2.19,1.0,1.53,1.38,1.09,1.28,1.22,0.77,1.02,1.03,0.99,0.85,0.83,0.98,0.71,0.75,0.75,0.63,0.74,0.65,0.62,0.56,0.52,0.63,0.56,0.5,0.44,0.36,0.45,0.4,0.4,0.37,0.29,0.35,0.32,0.33,0.32,0.28,0.31,0.29,0.29,0.26,0.29,0.18,0.19,0.22,0.18,0.11,0.17,0.17,0.18,0.1,0.09,0.1,0.1,0.07,0.06,0.25,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/04/2021,11.0,6.63,5.86,5.61,5.12,4.54,4.72,4.31,2.89,3.23,2.88,2.87,2.96,2.34,2.92,2.21,0.96,1.5,1.39,1.07,1.3,1.23,0.78,1.01,1.01,0.99,0.83,0.8,0.98,0.71,0.75,0.75,0.63,0.77,0.66,0.63,0.55,0.49,0.63,0.56,0.51,0.44,0.36,0.48,0.39,0.4,0.37,0.28,0.35,0.32,0.32,0.32,0.26,0.29,0.29,0.29,0.26,0.28,0.17,0.18,0.22,0.17,0.11,0.16,0.17,0.18,0.1,0.09,0.1,0.1,0.07,0.06,0.24,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/05/2021,10.99,6.68,5.93,5.55,5.04,4.58,4.71,4.31,2.91,3.42,2.77,2.87,2.95,2.25,2.89,2.19,0.96,1.51,1.38,1.04,1.31,1.23,0.77,1.01,1.01,0.99,0.83,0.8,0.97,0.74,0.74,0.75,0.63,0.75,0.65,0.62,0.54,0.49,0.64,0.56,0.54,0.45,0.37,0.46,0.38,0.39,0.36,0.29,0.35,0.31,0.31,0.32,0.3,0.29,0.28,0.28,0.26,0.31,0.17,0.18,0.22,0.17,0.12,0.17,0.16,0.19,0.1,0.09,0.1,0.1,0.07,0.06,0.24,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/06/2021,11.61,6.7,5.84,5.57,4.91,4.55,4.82,4.29,2.86,3.36,2.77,2.76,2.87,2.27,2.88,2.2,0.91,1.52,1.37,1.05,1.31,1.23,0.75,1.0,1.01,1.02,0.85,0.8,0.98,0.73,0.73,0.74,0.62,0.75,0.65,0.56,0.51,0.54,0.67,0.55,0.5,0.43,0.35,0.47,0.39,0.39,0.36,0.29,0.35,0.31,0.31,0.31,0.3,0.29,0.28,0.27,0.26,0.29,0.17,0.17,0.21,0.17,0.12,0.16,0.17,0.18,0.1,0.09,0.1,0.1,0.07,0.06,0.24,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/09/2021,10.96,6.58,5.71,5.49,5.29,4.51,5.4,4.3,2.89,3.98,2.63,2.58,2.92,2.18,2.82,2.15,0.83,1.64,1.32,1.08,1.18,1.2,0.7,0.94,1.08,1.17,0.87,0.77,1.03,0.69,0.74,0.72,0.55,0.74,0.62,0.54,0.5,0.6,0.65,0.54,0.47,0.43,0.33,0.48,0.38,0.37,0.35,0.28,0.33,0.34,0.32,0.3,0.3,0.28,0.27,0.26,0.24,0.29,0.16,0.12,0.2,0.16,0.11,0.17,0.16,0.17,0.09,0.08,0.1,0.1,0.07,0.06,0.0,0.53,0.51,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/10/2021,10.96,6.58,5.71,5.49,5.29,4.51,5.4,4.3,2.89,3.98,2.63,2.58,2.92,2.18,2.82,2.15,0.83,1.64,1.32,1.08,1.18,1.2,0.7,0.94,1.08,1.17,0.87,0.77,1.03,0.69,0.74,0.72,0.55,0.74,0.62,0.54,0.5,0.6,0.65,0.54,0.47,0.43,0.33,0.48,0.38,0.37,0.35,0.28,0.33,0.34,0.32,0.3,0.3,0.28,0.27,0.26,0.24,0.29,0.16,0.12,0.2,0.16,0.11,0.17,0.16,0.17,0.09,0.08,0.1,0.1,0.07,0.06,0.0,0.53,0.51,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
