,OTIS,EVR,JEF,ACI,BAH,PLTK,CRWD,ALLY,FTNT,AMCR,IDXX,MSI,AMP,VRSN,SYF,TREX,CDNS,VST,RS,FICO,VER,KR,BPOP,SLG,OMF,CARR,SGFY,DPZ,MSCI,POOL,AZO,AZPN,DVN,WSM,LII,LAZ,ALSN,BBY,HPE,BRX,ENPH,ZBRA,QRVO,ETR,ORLY,TER,MANH,HUBS,NRG,HPQ,VEEV,EXPD,PAYX,SMG,PRI,MTCH,DFS,MOH,LULU,MCK,CDW,DKS,LESL,HLF,W,RHI,FLO,WTM,DVA,CHE,BPYU,TT,AVY,STNE,KEYS,MTD,PHM,WRI,UI,TPX,RL,EQH,AFG,SNPS,ZS,PFG,CNXC,KIM,MCFE,DTE,CTAS,VNT,HOLX,MRO,BHF,XRX,FCN,ZNGA,MXIM,OKTA,GWW,DOV,CTXS,AEE,ALXN,AMED,MAS,RPRX,HSY,PNW,FL,DBX,SEE,AM,PTON,NVT,PANW,IDA,TTWO,NTAP,ETSY,QDEL,DT,GRMN,FE,LPLA,CLX,SHC,WORK,HZNP,DGX,AGCO,ROK,JBL,CIEN,GO,XLRN,LUMN,AN,XTSLA,LB,PNR,TSCO,YUMC,BURL,HRB,SMAR,BRKR,EQR,PII,LITE,KSS,AVTR,CRUS,WU,SHLS,RNG,FNF,DNB,COLM,RJF,NVCR,AVLR,CAH,HIG,STE,STT,NBIX,HIW,GNRC,TTC,CACI,CFG,GLPI,FOXA,QRTEA,ATH,EHC,ANET,MDB,GDDY,MDU,STLD,FAF,CMA,PINS,PODD,SNX,THG,CRI,OMC,DOX,IPG,AVT,PLAN,FFIV,AGO,UHS,NTNX,NWL,USD,UPST,NWS,MRVI,APA,DTM WI,LPX,OGN,DECK,SF,YUM,SBAC,A,BLD,GME,DRE,NTRA,RSG,NET,AFL,RH,CPB,SPB,ODFL,SLGN,AA,FR,DOCU,127.HK,DXCM,RMD,LDOS,MAN,BBWI WI,WEC,AKAM,SNDR,n/a,CRL,WST,UTHR,SRC,YETI,GPK,CERN,AZEK,IQV,GGG,RGEN,WMS,WAT,XEL,TDC,NWSA,BXP,688185.SS,SUM
07/23/2021,1.62,1.39,1.05,1.08,0.95,0.9,0.91,0.91,0.87,0.7,0.75,0.69,0.73,0.69,0.73,0.63,0.75,0.55,0.59,0.64,0.84,0.79,0.59,0.89,0.77,0.59,0.51,0.61,0.82,0.48,0.52,0.64,0.56,0.64,0.48,0.7,0.49,0.64,0.58,0.73,0.41,0.55,0.58,0.53,0.5,0.58,0.55,0.57,0.4,0.53,0.58,0.49,0.41,0.53,0.47,0.52,0.42,0.46,0.51,0.51,0.43,0.45,0.45,0.51,0.5,0.43,0.42,0.35,0.43,0.39,0.5,0.41,0.33,0.34,0.37,0.46,0.32,0.43,0.36,0.36,0.33,0.36,0.31,0.47,0.38,0.37,0.35,0.43,0.29,0.32,0.36,0.33,0.35,0.0,0.35,0.35,0.33,0.27,0.39,0.33,0.32,0.33,0.46,0.31,0.0,0.33,0.36,0.35,0.29,0.26,0.2,0.3,0.27,0.34,0.28,0.32,0.36,0.25,0.34,0.36,0.29,0.37,0.26,0.26,0.21,0.26,0.41,0.32,0.31,0.29,0.29,0.26,0.35,0.3,0.26,0.27,0.29,0.31,0.3,0.23,0.27,0.24,0.27,0.23,0.17,0.22,0.24,0.2,0.35,0.25,0.28,0.21,0.28,0.23,0.23,0.0,0.24,0.28,0.26,0.19,0.29,0.18,0.19,0.28,0.0,0.22,0.36,0.19,0.3,0.27,0.18,0.26,0.0,0.26,0.0,0.26,0.0,0.0,0.24,0.18,0.25,0.0,0.0,0.21,0.0,0.27,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,2.2,1.07,0.76,0.61,0.58,0.58,0.36,0.34,0.33,0.32,0.24,0.21,0.22,0.22,0.2,0.2,0.2,0.2,0.19,0.17,0.19,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
07/26/2021,1.62,1.41,1.06,1.08,0.93,0.91,0.91,0.93,0.86,0.7,0.75,0.68,0.73,0.69,0.74,0.63,0.75,0.55,0.59,0.65,0.84,0.77,0.61,0.89,0.78,0.59,0.51,0.6,0.82,0.48,0.51,0.64,0.57,0.0,0.47,0.71,0.49,0.63,0.59,0.74,0.42,0.56,0.58,0.52,0.49,0.59,0.55,0.57,0.4,0.53,0.58,0.48,0.41,0.53,0.47,0.53,0.43,0.46,0.51,0.51,0.43,0.46,0.46,0.5,0.48,0.43,0.41,0.35,0.43,0.38,0.5,0.41,0.33,0.35,0.37,0.46,0.32,0.44,0.36,0.37,0.33,0.37,0.31,0.47,0.38,0.37,0.35,0.44,0.29,0.32,0.36,0.32,0.35,0.0,0.35,0.36,0.33,0.27,0.39,0.33,0.32,0.33,0.45,0.3,0.0,0.32,0.36,0.34,0.29,0.25,0.2,0.3,0.27,0.34,0.28,0.32,0.35,0.24,0.34,0.36,0.29,0.37,0.26,0.26,0.2,0.27,0.4,0.32,0.0,0.29,0.29,0.26,0.35,0.3,0.26,0.26,0.28,0.31,0.3,0.23,0.27,0.24,0.26,0.22,0.17,0.21,0.24,0.2,0.35,0.25,0.28,0.21,0.27,0.23,0.23,0.0,0.24,0.28,0.26,0.19,0.29,0.18,0.19,0.28,0.0,0.22,0.37,0.19,0.3,0.27,0.17,0.26,0.0,0.26,0.0,0.26,0.0,0.0,0.24,0.18,0.25,0.0,0.0,0.23,0.0,0.27,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,2.22,1.09,0.77,0.6,0.59,0.58,0.35,0.34,0.33,0.31,0.24,0.23,0.22,0.22,0.2,0.2,0.2,0.2,0.19,0.0,0.2,0.17,0.17,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.31
07/27/2021,1.63,1.42,1.05,1.04,0.94,0.9,0.94,0.93,0.89,0.7,0.76,0.69,0.72,0.7,0.73,0.63,0.76,0.56,0.59,0.66,0.83,0.76,0.61,0.86,0.77,0.6,0.51,0.69,0.83,0.48,0.51,0.64,0.57,0.0,0.46,0.69,0.48,0.63,0.58,0.72,0.42,0.56,0.58,0.52,0.49,0.59,0.55,0.58,0.41,0.52,0.59,0.48,0.4,0.53,0.47,0.54,0.43,0.46,0.52,0.52,0.43,0.46,0.44,0.5,0.48,0.43,0.4,0.35,0.43,0.38,0.5,0.41,0.33,0.35,0.37,0.47,0.32,0.43,0.35,0.36,0.33,0.36,0.3,0.48,0.39,0.37,0.35,0.42,0.29,0.32,0.36,0.33,0.36,0.0,0.35,0.36,0.33,0.27,0.38,0.34,0.32,0.33,0.46,0.3,0.0,0.32,0.35,0.34,0.29,0.25,0.2,0.3,0.27,0.34,0.26,0.32,0.36,0.24,0.34,0.36,0.3,0.4,0.27,0.26,0.21,0.27,0.4,0.32,0.0,0.31,0.29,0.26,0.35,0.3,0.26,0.24,0.29,0.3,0.3,0.23,0.27,0.24,0.27,0.23,0.17,0.21,0.24,0.2,0.35,0.25,0.28,0.21,0.27,0.23,0.23,0.0,0.24,0.28,0.26,0.19,0.29,0.18,0.2,0.28,0.0,0.22,0.37,0.19,0.29,0.27,0.17,0.26,0.0,0.25,0.0,0.26,0.0,0.0,0.24,0.18,0.25,0.0,0.0,0.22,0.0,0.28,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.97,0.19,0.0,0.0,0.0,2.18,1.08,0.79,0.62,0.58,0.6,0.35,0.34,0.32,0.3,0.24,0.23,0.22,0.23,0.2,0.2,0.19,0.2,0.19,0.0,0.2,0.0,0.18,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.32000000000001
07/28/2021,1.65,1.42,1.03,1.05,0.94,0.89,0.96,0.91,0.89,0.69,0.77,0.69,0.73,0.66,0.73,0.63,0.77,0.57,0.59,0.66,0.84,0.76,0.61,0.84,0.79,0.61,0.5,0.67,0.83,0.49,0.52,0.64,0.56,0.63,0.47,0.69,0.48,0.64,0.58,0.72,0.42,0.57,0.58,0.53,0.5,0.59,0.56,0.56,0.41,0.52,0.59,0.49,0.41,0.53,0.47,0.55,0.42,0.47,0.53,0.53,0.44,0.47,0.44,0.51,0.47,0.46,0.4,0.34,0.43,0.39,0.5,0.41,0.33,0.35,0.37,0.47,0.33,0.43,0.37,0.36,0.33,0.36,0.3,0.48,0.4,0.37,0.36,0.43,0.29,0.32,0.36,0.33,0.36,0.0,0.34,0.36,0.33,0.27,0.39,0.35,0.32,0.33,0.46,0.3,0.0,0.33,0.36,0.33,0.29,0.25,0.2,0.3,0.27,0.34,0.27,0.33,0.36,0.25,0.35,0.36,0.31,0.41,0.27,0.27,0.21,0.27,0.41,0.32,0.0,0.31,0.29,0.26,0.35,0.3,0.27,0.24,0.29,0.3,0.3,1.47,0.27,0.24,0.27,0.23,0.18,0.22,0.24,0.2,0.35,0.25,0.28,0.21,0.27,0.23,0.23,0.0,0.24,0.28,0.25,0.19,0.29,0.17,0.2,0.28,0.0,0.22,0.37,0.19,0.29,0.27,0.18,0.26,0.0,0.25,0.0,0.26,0.0,0.0,0.25,0.18,0.25,0.0,0.0,0.23,0.0,0.29,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,2.16,1.08,0.76,0.63,0.59,0.61,0.35,0.34,0.33,0.3,0.24,0.23,0.22,0.23,0.2,0.2,0.19,0.21,0.19,0.0,0.19,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.63000000000001
07/29/2021,1.66,1.42,1.04,1.06,0.94,0.87,0.94,0.92,0.88,0.71,0.76,0.69,0.73,0.67,0.74,0.62,0.77,0.57,0.6,0.64,0.84,0.76,0.61,0.85,0.77,0.6,0.48,0.68,0.83,0.49,0.51,0.64,0.58,0.62,0.48,0.69,0.48,0.65,0.6,0.72,0.41,0.57,0.58,0.53,0.5,0.59,0.55,0.58,0.41,0.53,0.58,0.49,0.41,0.53,0.47,0.55,0.43,0.46,0.52,0.53,0.44,0.47,0.45,0.51,0.47,0.46,0.41,0.34,0.43,0.38,0.49,0.41,0.33,0.33,0.37,0.47,0.33,0.42,0.36,0.36,0.33,0.37,0.3,0.48,0.39,0.37,0.36,0.43,0.29,0.32,0.35,0.32,0.35,0.0,0.35,0.36,0.33,0.27,0.39,0.34,0.32,0.33,0.46,0.3,0.0,0.32,0.35,0.33,0.29,0.25,0.2,0.3,0.27,0.34,0.27,0.33,0.36,0.25,0.35,0.36,0.3,0.38,0.27,0.27,0.21,0.27,0.41,0.32,0.0,0.3,0.29,0.26,0.35,0.31,0.27,0.24,0.28,0.31,0.3,1.47,0.27,0.24,0.27,0.22,0.18,0.21,0.24,0.2,0.35,0.26,0.28,0.21,0.27,0.23,0.23,0.0,0.24,0.29,0.25,0.19,0.29,0.0,0.2,0.28,0.0,0.22,0.37,0.19,0.29,0.27,0.18,0.26,0.0,0.25,0.0,0.26,0.17,0.0,0.24,0.18,0.25,0.0,0.0,0.22,0.0,0.29,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,2.17,1.09,0.75,0.64,0.59,0.61,0.36,0.34,0.33,0.31,0.24,0.22,0.22,0.23,0.2,0.2,0.19,0.21,0.19,0.0,0.2,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.44000000000001
07/30/2021,1.65,1.41,1.04,1.05,0.95,0.85,0.92,0.91,0.88,0.71,0.76,0.69,0.73,0.66,0.75,0.6,0.76,0.58,0.6,0.63,0.84,0.77,0.61,0.87,0.78,0.61,0.47,0.68,0.84,0.5,0.52,0.64,0.56,0.62,0.49,0.68,0.47,0.65,0.59,0.73,0.41,0.56,0.56,0.54,0.5,0.57,0.55,0.57,0.41,0.53,0.58,0.48,0.41,0.52,0.47,0.54,0.43,0.47,0.52,0.54,0.44,0.47,0.44,0.5,0.46,0.47,0.41,0.35,0.43,0.39,0.5,0.42,0.33,0.33,0.37,0.47,0.33,0.42,0.36,0.35,0.33,0.36,0.3,0.48,0.39,0.37,0.35,0.43,0.29,0.33,0.35,0.32,0.36,0.0,0.35,0.38,0.33,0.26,0.38,0.34,0.32,0.33,0.46,0.31,0.0,0.32,0.36,0.33,0.29,0.26,0.2,0.31,0.28,0.33,0.27,0.33,0.36,0.25,0.34,0.36,0.29,0.37,0.27,0.27,0.21,0.27,0.41,0.31,0.0,0.31,0.3,0.26,0.34,0.3,0.27,0.24,0.27,0.31,0.3,1.48,0.27,0.25,0.27,0.21,0.17,0.22,0.24,0.2,0.35,0.24,0.27,0.21,0.27,0.23,0.23,0.0,0.23,0.29,0.25,0.19,0.29,0.0,0.2,0.29,0.0,0.22,0.37,0.19,0.29,0.27,0.18,0.26,0.0,0.26,0.0,0.26,0.0,0.0,0.24,0.18,0.25,0.0,0.0,0.22,0.0,0.28,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,2.22,1.1,0.74,0.62,0.59,0.63,0.36,0.34,0.33,0.3,0.24,0.22,0.22,0.23,0.2,0.2,0.2,0.21,0.19,0.0,0.2,0.17,0.17,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.36
08/02/2021,1.64,1.4,1.05,1.11,0.94,0.86,0.92,0.91,0.88,0.71,0.77,0.69,0.75,0.64,0.75,0.6,0.77,0.57,0.61,0.62,0.83,0.77,0.61,0.85,0.78,0.63,0.45,0.66,0.85,0.5,0.51,0.63,0.57,0.62,0.49,0.71,0.47,0.64,0.6,0.74,0.42,0.57,0.58,0.53,0.48,0.57,0.6,0.56,0.41,0.53,0.59,0.47,0.0,0.51,0.47,0.54,0.43,0.46,0.52,0.53,0.44,0.47,0.43,0.5,0.43,0.48,0.4,0.35,0.42,0.38,0.0,0.41,0.34,0.34,0.37,0.47,0.33,0.42,0.37,0.39,0.33,0.38,0.3,0.48,0.39,0.37,0.35,0.43,0.29,0.32,0.35,0.32,0.36,0.0,0.35,0.37,0.34,0.26,0.38,0.33,0.32,0.33,0.39,0.3,0.0,0.32,0.35,0.31,0.28,0.0,0.19,0.31,0.28,0.32,0.26,0.33,0.35,0.25,0.34,0.36,0.29,0.38,0.27,0.27,0.2,0.27,0.4,0.32,0.0,0.31,0.3,0.26,0.35,0.31,0.27,0.24,0.29,0.3,0.31,0.34,0.28,0.25,0.26,0.21,0.17,0.21,0.24,0.2,0.34,0.24,0.28,0.2,0.27,0.23,0.23,0.0,0.23,0.28,0.25,0.19,0.29,0.0,0.21,0.28,0.0,0.22,0.38,0.18,0.3,0.25,0.0,0.26,0.0,0.25,0.0,0.26,0.0,0.0,0.24,0.18,0.24,0.0,0.0,0.22,0.0,0.27,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.18,0.17,0.18,0.0,0.0,0.0,0.0,1.17,0.2,0.0,0.0,0.0,2.27,1.12,0.74,0.63,0.6,0.64,0.35,0.34,0.34,0.27,0.23,0.22,0.22,0.24,0.21,0.2,0.19,0.21,0.2,0.17,0.2,0.17,0.0,0.0,0.17,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.52000000000001
08/03/2021,1.66,1.38,1.04,1.11,0.9,0.85,0.9,0.9,0.88,0.71,0.75,0.69,0.75,0.64,0.74,0.61,0.78,0.57,0.61,0.62,0.83,0.78,0.61,0.84,0.78,0.64,0.46,0.66,0.85,0.5,0.51,0.64,0.56,0.6,0.48,0.73,0.48,0.64,0.6,0.74,0.44,0.57,0.57,0.53,0.48,0.58,0.6,0.58,0.41,0.53,0.59,0.48,0.0,0.51,0.47,0.53,0.42,0.49,0.52,0.53,0.45,0.47,0.43,0.49,0.4,0.48,0.4,0.34,0.43,0.38,0.0,0.42,0.34,0.34,0.38,0.46,0.33,0.43,0.37,0.39,0.34,0.38,0.3,0.48,0.39,0.37,0.36,0.43,0.29,0.32,0.35,0.32,0.37,0.0,0.35,0.37,0.35,0.26,0.39,0.33,0.31,0.33,0.4,0.3,0.0,0.32,0.35,0.31,0.29,0.0,0.2,0.31,0.28,0.32,0.26,0.33,0.35,0.25,0.35,0.36,0.27,0.38,0.27,0.27,0.21,0.27,0.4,0.33,0.0,0.3,0.3,0.27,0.36,0.32,0.27,0.24,0.29,0.3,0.31,0.34,0.28,0.25,0.26,0.21,0.18,0.21,0.23,0.2,0.34,0.24,0.28,0.21,0.28,0.23,0.23,0.0,0.23,0.28,0.25,0.19,0.29,0.0,0.2,0.28,0.0,0.23,0.37,0.18,0.3,0.25,0.18,0.26,0.0,0.25,0.0,0.25,0.17,0.0,0.24,0.18,0.24,0.0,0.0,0.22,0.0,0.22,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.0,1.24,0.19,0.0,0.0,0.0,2.23,1.11,0.73,0.64,0.6,0.65,0.36,0.34,0.34,0.27,0.24,0.23,0.23,0.24,0.21,0.19,0.19,0.21,0.2,0.17,0.21,0.17,0.0,0.0,0.19,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.63000000000001
08/04/2021,1.66,1.38,1.04,1.11,0.9,0.85,0.9,0.9,0.88,0.71,0.75,0.69,0.75,0.64,0.74,0.61,0.78,0.57,0.61,0.62,0.83,0.78,0.61,0.84,0.78,0.64,0.46,0.66,0.85,0.5,0.51,0.64,0.56,0.6,0.48,0.73,0.48,0.64,0.6,0.74,0.44,0.57,0.57,0.53,0.48,0.58,0.6,0.58,0.41,0.53,0.59,0.48,0.0,0.51,0.47,0.53,0.42,0.49,0.52,0.53,0.45,0.47,0.43,0.49,0.4,0.48,0.4,0.34,0.43,0.38,0.0,0.42,0.34,0.34,0.38,0.46,0.33,0.43,0.37,0.39,0.34,0.38,0.3,0.48,0.39,0.37,0.36,0.43,0.29,0.32,0.35,0.32,0.37,0.0,0.35,0.37,0.35,0.26,0.39,0.33,0.31,0.33,0.4,0.3,0.0,0.32,0.35,0.31,0.29,0.0,0.2,0.31,0.28,0.32,0.26,0.33,0.35,0.25,0.35,0.36,0.27,0.38,0.27,0.27,0.21,0.27,0.4,0.33,0.0,0.3,0.3,0.27,0.36,0.32,0.27,0.24,0.29,0.3,0.31,0.34,0.28,0.25,0.26,0.21,0.18,0.21,0.23,0.2,0.34,0.24,0.28,0.21,0.28,0.23,0.23,0.0,0.23,0.28,0.25,0.19,0.29,0.0,0.2,0.28,0.0,0.23,0.37,0.18,0.3,0.25,0.18,0.26,0.0,0.25,0.0,0.25,0.17,0.0,0.24,0.18,0.24,0.0,0.0,0.22,0.0,0.22,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.0,1.24,0.19,0.0,0.0,0.0,2.23,1.11,0.73,0.64,0.6,0.65,0.36,0.34,0.34,0.27,0.24,0.23,0.23,0.24,0.21,0.19,0.19,0.21,0.2,0.17,0.21,0.17,0.0,0.0,0.19,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.63000000000001
08/05/2021,1.66,1.38,1.04,1.11,0.9,0.85,0.9,0.9,0.88,0.71,0.75,0.69,0.75,0.64,0.74,0.61,0.78,0.57,0.61,0.62,0.83,0.78,0.61,0.84,0.78,0.64,0.46,0.66,0.85,0.5,0.51,0.64,0.56,0.6,0.48,0.73,0.48,0.64,0.6,0.74,0.44,0.57,0.57,0.53,0.48,0.58,0.6,0.58,0.41,0.53,0.59,0.48,0.0,0.51,0.47,0.53,0.42,0.49,0.52,0.53,0.45,0.47,0.43,0.49,0.4,0.48,0.4,0.34,0.43,0.38,0.0,0.42,0.34,0.34,0.38,0.46,0.33,0.43,0.37,0.39,0.34,0.38,0.3,0.48,0.39,0.37,0.36,0.43,0.29,0.32,0.35,0.32,0.37,0.0,0.35,0.37,0.35,0.26,0.39,0.33,0.31,0.33,0.4,0.3,0.0,0.32,0.35,0.31,0.29,0.0,0.2,0.31,0.28,0.32,0.26,0.33,0.35,0.25,0.35,0.36,0.27,0.38,0.27,0.27,0.21,0.27,0.4,0.33,0.0,0.3,0.3,0.27,0.36,0.32,0.27,0.24,0.29,0.3,0.31,0.34,0.28,0.25,0.26,0.21,0.18,0.21,0.23,0.2,0.34,0.24,0.28,0.21,0.28,0.23,0.23,0.0,0.23,0.28,0.25,0.19,0.29,0.0,0.2,0.28,0.0,0.23,0.37,0.18,0.3,0.25,0.18,0.26,0.0,0.25,0.0,0.25,0.17,0.0,0.24,0.18,0.24,0.0,0.0,0.22,0.0,0.22,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.0,1.24,0.19,0.0,0.0,0.0,2.23,1.11,0.73,0.64,0.6,0.65,0.36,0.34,0.34,0.27,0.24,0.23,0.23,0.24,0.21,0.19,0.19,0.21,0.2,0.17,0.21,0.17,0.0,0.0,0.19,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.63000000000001
08/06/2021,1.68,1.34,1.05,1.2,0.86,0.83,0.9,0.89,0.96,0.71,0.76,0.69,0.75,0.64,0.73,0.61,0.78,0.56,0.61,0.6,0.83,0.81,0.6,0.81,0.77,0.66,0.47,0.68,0.88,0.5,0.52,0.63,0.56,0.62,0.48,0.73,0.48,0.64,0.61,0.73,0.45,0.56,0.58,0.0,0.49,0.58,0.61,0.56,0.41,0.54,0.59,0.47,0.0,0.51,0.46,0.52,0.43,0.49,0.53,0.53,0.45,0.48,0.42,0.49,0.41,0.48,0.4,0.34,0.43,0.38,0.0,0.42,0.34,0.33,0.38,0.47,0.34,0.0,0.37,0.38,0.37,0.38,0.3,0.48,0.4,0.37,0.35,0.81,0.3,0.32,0.35,0.32,0.37,0.0,0.34,0.37,0.35,0.25,0.38,0.32,0.0,0.34,0.4,0.31,0.0,0.32,0.36,0.31,0.29,0.0,0.19,0.31,0.29,0.31,0.26,0.35,0.35,0.0,0.32,0.37,0.28,0.38,0.27,0.28,0.0,0.26,0.36,0.32,0.0,0.3,0.3,0.27,0.36,0.32,0.27,0.24,0.28,0.3,0.3,1.56,0.0,0.26,0.27,0.21,0.18,0.21,0.23,0.19,0.34,0.24,0.27,0.21,0.28,0.22,0.22,0.0,0.24,0.27,0.23,0.19,0.29,0.0,0.2,0.28,0.16,0.23,0.37,0.19,0.29,0.24,0.18,0.24,0.0,0.24,0.0,0.26,0.17,0.0,0.24,0.18,0.24,0.0,0.0,0.22,0.0,0.22,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.18,0.16,0.19,0.0,0.0,0.0,0.0,3.08,0.2,0.0,0.17,0.0,2.28,0.0,0.74,0.66,0.59,0.65,0.36,0.34,0.36,0.25,0.23,0.22,0.23,0.24,0.21,0.19,0.19,0.2,0.2,0.17,0.21,0.17,0.0,0.0,0.19,0.17,0.0,0.0,0.23,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.26000000000002
08/09/2021,1.66,1.37,1.07,1.18,0.85,0.95,0.93,0.89,0.96,0.71,0.77,0.68,0.75,0.63,0.75,0.65,0.79,0.54,0.58,0.57,0.83,0.79,0.61,0.81,0.74,0.65,0.48,0.67,0.89,0.51,0.51,0.63,0.57,0.62,0.48,0.73,0.46,0.65,0.6,0.74,0.42,0.58,0.58,0.0,0.48,0.57,0.61,0.63,0.41,0.54,0.6,0.46,0.0,0.46,0.47,0.48,0.43,0.48,0.54,0.51,0.46,0.48,0.39,0.46,0.45,0.48,0.38,0.34,0.46,0.37,0.0,0.4,0.34,0.33,0.38,0.48,0.32,0.0,0.36,0.38,0.37,0.38,0.31,0.49,0.41,0.37,0.37,0.83,0.32,0.33,0.35,0.32,0.37,0.0,0.36,0.35,0.34,0.25,0.39,0.33,0.0,0.34,0.4,0.31,0.0,0.25,0.36,0.3,0.28,0.0,0.19,0.31,0.28,0.31,0.26,0.34,0.36,0.0,0.31,0.37,0.26,0.38,0.27,0.28,0.0,0.27,0.36,0.32,0.0,0.32,0.31,0.27,0.36,0.31,0.27,0.24,0.29,0.28,0.3,3.46,0.0,0.26,0.27,0.21,0.18,0.22,0.23,0.19,0.34,0.24,0.27,0.21,0.28,0.22,0.22,0.0,0.22,0.29,0.22,0.19,0.29,0.0,0.2,0.24,0.0,0.22,0.37,0.18,0.29,0.24,0.18,0.24,0.0,0.26,0.16,0.25,0.17,0.16,0.24,0.19,0.21,0.0,0.0,0.22,0.0,0.22,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.18,0.17,0.19,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.19,0.0,2.32,0.0,0.74,0.67,0.59,0.65,0.36,0.35,0.36,0.25,0.23,0.23,0.22,0.24,0.21,0.2,0.18,0.2,0.2,0.17,0.2,0.17,0.17,0.0,0.19,0.17,0.0,0.0,0.22,0.0,0.0,0.16,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.34
