,NatWest Group plc 8%,Lloyds Banking Group plc 7.5%,Nordea Bank ABP 6.62%,Credit Agricole S.A. 7.88%,Societe Generale S.A. 7.88%,HSBC Holdings plc 6.38%,ING Groep N.V. 5.75%,UBS Group Funding (Switzerland) AG 7%,Standard Chartered plc 7.5%,AT&T Inc 4.75% PRF PERPETUAL USD 25 - 1/1000th Int Ser C,Huntington Bancshares Incorporated 5.62%,Bank of America Corp Pfd,Discover Financial Services 6.12%,Comerica Incorporated 5.62%,The Charles Schwab Corporation 5.38%,Citizens Financial Group Inc 5.65%,Truist Financial Corporation 4.95%,Bank of Nova Scotia 4.9%,The Bank of New York Mellon Corporation 4.7%,Duke Energy Corp 4.88%,Fifth Third Bancorp 4.5%,Credit Suisse Group AG 7.12%,Voya Financial Inc 6.12%,Morgan Stanley Deposit Shs Repr 1/1000th Non-Cum Pfd Shs Series -I-,Dominion Energy Inc 4.65%,MetLife Inc Series F,Credit Suisse Group AG 6.38%,"Goldman Sachs Group, Inc. 3.8%",Wells Fargo & Company 5.88%,The Charles Schwab Corporation 4%,Wells Fargo & Company 3.9%,Allstate Corp 5.10% PRF PERPETUAL USD 25 - Ser H 1/1000th Int,AT&T Inc 5% PRF PERPETUAL USD 25 1/1000th Int Ser A,Synovus Financial Corp Pfd,State Street Instl US Govt MMkt Premier,M&T Bank Corporation 5.12%,Bank of America Corporation 6.1%,Fulton Financial Corp 5.125% PRF PERPETUAL USD 25 - Ser A,The Bank of New York Mellon Corporation 3.7%,Citigroup Inc. 3.88%,MetLife Inc. 3.85%,American International Group Inc Ser A,Ally Financial Inc FXDFR PRF PERPETUAL USD 1000 - Ser B,Bank of America Corp PRF PERPETUAL USD 25 - Ser NN,SVB Financial Group 4%,JPMorgan Chase & Co. 3.65%,Associated Banc-Corp 5.625% PRF PERPETUAL USD 25 - Ser F 1/40 Int,JPMorgan Chase & Co 6% PRF PERPETUAL USD 25 - Dep rep 1/400 Ser EE,JPMorgan Chase & Co Pfd,U.S. Bancorp Shs Repr 1/1000th Non-Cum Perpetual Pfd Shs Series -B-,688202.SS,Usd,NWG V8 PERP,LLOYDS V7.5 PERP,ACAFP V7.875 PERP REGS,NDASS V6.625 PERP 144A,UBS V7 PERP REGS,HSBC V6.375 PERP,INTNED V5.75 PERP,SOCGEN V7.875 PERP REGS,STANLN V7.5 PERP REGS,HBAN V5.625 PERP F,BAC V6.3 PERP DD,DFS V6.125 PERP D,SCHW V5.375 PERP G,CFG V5.65 PERP F,CMA V5.625 PERP,BK V4.7 PERP G,TFC V4.95 PERP P,DUK V4.875 PERP,BNS V4.9 PERP,FITB V4.5 PERP L,CS V7.125 PERP,MS V6.375 PERP I,VOYA V6.125 PERP A,D V4.65 PERP B,GS V3.8 PERP T,MET 4.75 PERP F,CS V6.375 PERP 144A,WFC V5.875 PERP U,T 4.75 PERP C,WFC V3.9 PERP BB,SCHW V4 PERP I,C V3.875 PERP,SNV V5.875 PERP E,ALL 5.1 PERP H,T 5 PERP A,MTB V5.125 PERP F,BAC V6.1 PERP AA,BK V3.7 PERP H,MET V3.85 PERP G,FULT 5.125 PERP A,AIG 5.85 PERP A,ALLY V4.7 PERP B,COF V3.95 PERP M,USB V3.7 PERP,GVMXX,SIVB V4 PERP C,JPM V3.65 PERP KK,BAC 4.375 PERP NN,ASB 5.625 PERP F,n/a,CS V9.75 PERP 144A,PNC V6 PERP U,SUM
07/23/2021,4.16,4.09,4.04,3.97,3.93,3.92,3.88,3.88,3.66,2.98,2.75,2.73,2.63,2.6,2.61,2.6,2.57,2.57,2.58,2.51,2.43,2.33,2.02,1.99,1.99,1.87,1.82,1.82,1.63,1.41,1.39,1.3,1.26,1.29,0.89,1.11,1.05,1.0,0.98,0.96,0.93,0.92,0.94,0.47,0.46,0.45,0.24,0.19,0.14,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/26/2021,4.15,4.1,4.04,3.97,3.93,3.91,3.89,3.87,3.65,2.95,2.76,2.74,2.64,2.59,2.61,2.62,2.58,2.57,2.58,2.5,2.44,2.34,2.02,1.99,2.0,1.87,1.82,1.83,1.64,1.4,1.39,1.29,1.24,1.29,0.89,1.12,1.05,1.0,0.98,0.96,0.94,0.91,0.93,0.46,0.46,0.45,0.24,0.19,0.14,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96000000000002
07/27/2021,4.15,4.1,4.05,3.97,3.92,3.92,3.89,3.87,3.65,2.95,2.76,2.74,2.64,2.59,2.61,2.62,2.58,2.57,2.58,2.5,2.44,2.33,2.02,1.99,2.0,1.88,1.82,1.82,1.64,1.4,1.39,1.29,1.24,1.3,0.89,1.12,1.05,1.0,0.98,0.96,0.94,0.91,0.94,0.46,0.46,0.45,0.24,0.19,0.14,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/28/2021,4.15,4.1,4.05,3.97,3.92,3.92,3.89,3.87,3.65,2.95,2.76,2.74,2.64,2.59,2.61,2.62,2.58,2.57,2.58,2.5,2.44,2.33,2.02,1.99,2.0,1.88,1.82,1.82,1.64,1.4,1.39,1.29,1.24,1.3,0.89,1.12,1.05,1.0,0.98,0.96,0.94,0.91,0.94,0.46,0.46,0.45,0.24,0.19,0.14,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/29/2021,4.16,4.09,4.05,3.97,3.93,3.91,3.89,3.87,3.65,2.95,2.75,2.74,2.64,2.63,2.61,2.62,2.58,2.57,2.58,2.5,2.42,2.33,2.02,1.98,2.0,1.88,1.82,1.82,1.64,1.4,1.39,1.29,1.24,1.3,0.89,1.12,1.05,1.01,0.98,0.96,0.94,0.9,0.94,0.46,0.46,0.45,0.23,0.19,0.14,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/30/2021,4.15,4.11,4.05,3.97,3.9,3.9,3.89,3.87,3.65,2.94,2.75,2.73,2.64,2.63,2.62,2.62,2.59,2.58,2.59,2.5,2.43,2.33,2.02,1.97,2.0,1.88,1.82,1.83,1.64,1.4,1.39,1.28,1.24,1.3,0.9,1.12,1.05,1.01,0.98,0.96,0.93,0.9,0.93,0.46,0.46,0.45,0.23,0.19,0.14,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
08/02/2021,4.15,4.11,4.05,3.96,3.91,3.89,3.89,3.87,3.65,2.95,2.75,2.73,2.64,2.62,2.62,2.63,2.59,2.57,2.59,2.5,2.43,2.33,2.03,1.98,2.0,1.88,1.82,1.82,1.64,1.41,1.39,1.28,1.24,1.3,0.9,1.12,1.06,1.01,0.98,0.96,0.94,0.9,0.94,0.46,0.46,0.45,0.23,0.19,0.14,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/03/2021,4.15,4.11,4.05,3.96,3.91,3.89,3.89,3.87,3.65,2.95,2.75,2.73,2.64,2.62,2.62,2.63,2.59,2.57,2.59,2.5,2.43,2.33,2.03,1.98,2.0,1.88,1.82,1.82,1.64,1.41,1.39,1.28,1.24,1.3,0.9,1.12,1.06,1.01,0.98,0.96,0.94,0.9,0.94,0.46,0.46,0.45,0.23,0.19,0.14,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/04/2021,4.15,4.11,4.05,3.96,3.91,3.89,3.89,3.87,3.65,2.95,2.75,2.73,2.64,2.62,2.62,2.63,2.59,2.57,2.59,2.5,2.43,2.33,2.03,1.98,2.0,1.88,1.82,1.82,1.64,1.41,1.39,1.28,1.24,1.3,0.9,1.12,1.06,1.01,0.98,0.96,0.94,0.9,0.94,0.46,0.46,0.45,0.23,0.19,0.14,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/05/2021,4.15,4.11,4.05,3.96,3.91,3.89,3.89,3.87,3.65,2.95,2.75,2.73,2.64,2.62,2.62,2.63,2.59,2.57,2.59,2.5,2.43,2.33,2.03,1.98,2.0,1.88,1.82,1.82,1.64,1.41,1.39,1.28,1.24,1.3,0.9,1.12,1.06,1.01,0.98,0.96,0.94,0.9,0.94,0.46,0.46,0.45,0.23,0.19,0.14,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/06/2021,4.14,4.08,4.04,3.95,3.89,3.88,3.88,3.86,3.64,3.01,2.74,2.73,2.62,2.6,2.61,2.64,2.58,2.56,2.57,2.49,2.41,2.22,2.01,1.98,1.99,1.9,1.73,1.81,1.63,1.41,1.39,1.29,1.26,1.31,1.3,1.12,1.05,1.02,0.98,0.96,0.94,0.9,0.94,0.47,0.46,0.45,0.24,0.19,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
03/25/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,4.09,4.04,4.03,3.96,3.93,3.82,3.79,3.69,2.72,2.72,2.69,2.67,2.67,2.66,2.64,2.63,2.6,2.56,2.4,2.21,2.06,2.04,2.01,1.79,1.78,1.68,1.65,1.49,1.4,1.39,1.39,1.35,1.26,1.16,1.11,1.07,0.98,0.96,0.94,0.93,0.92,0.86,0.84,0.61,0.45,0.45,0.41,0.23,0.08,0.0,0.0,99.98
08/01/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,3.99,4.06,3.93,4.05,3.98,3.77,3.83,0.0,2.6,2.77,2.7,2.68,2.72,2.71,2.64,2.68,2.51,2.54,2.44,0.0,2.05,2.04,1.94,1.76,1.87,1.49,1.65,1.45,1.4,1.37,2.77,1.34,1.3,1.16,1.06,1.07,0.98,0.95,0.96,0.95,0.85,0.84,0.8,0.94,0.41,0.46,0.41,0.24,0.08,2.91,1.85,100.02
