,RCD,QQQ,IXN,FNCL,FXO,ARKW,IPO,First American Government Obligs X,FXD,XRT,FDIS,EWD,IJK,n/a,FGXXX,VUG,IYW,XSD,IGV,SUM
10/13/2021,0.0,0.0,14.94,0.0,0.0,0.0,0.0,0.0,14.79,19.65,0.0,0.0,0.0,0.0,0.37,15.01,35.25,0.0,0.0,100.01
10/14/2021,0.0,0.0,14.96,0.0,0.0,0.0,0.0,0.0,14.79,19.59,0.0,0.0,0.0,0.0,0.29,15.03,35.33,0.0,0.0,99.99
10/15/2021,0.0,0.0,14.92,0.0,0.0,0.0,0.0,0.0,14.89,19.53,0.0,0.0,0.0,0.0,0.3,15.04,35.32,0.0,0.0,100.0
10/18/2021,0.0,0.0,14.93,0.0,0.0,0.0,0.0,0.0,14.81,19.51,0.0,0.0,0.0,0.0,0.3,15.04,35.4,0.0,0.0,99.99
10/19/2021,0.0,0.0,14.99,0.0,0.0,0.0,0.0,0.0,14.76,19.44,0.0,0.0,0.0,0.0,0.29,15.02,35.5,0.0,0.0,100.0
10/20/2021,0.0,0.0,15.06,0.0,0.0,0.0,0.0,0.0,14.72,19.34,0.0,0.0,0.0,0.0,0.29,15.07,35.52,0.0,0.0,100.0
10/21/2021,0.0,0.0,15.06,0.0,0.0,0.0,0.0,0.0,14.72,19.34,0.0,0.0,0.0,0.0,0.29,15.07,35.52,0.0,0.0,100.0
10/22/2021,0.0,0.0,15.08,0.0,0.0,0.0,0.0,0.0,14.58,19.31,0.0,0.0,0.0,0.0,0.28,15.09,35.65,0.0,0.0,99.99
10/25/2021,0.0,0.0,15.02,0.0,0.0,0.0,0.0,0.0,14.63,19.39,0.0,0.0,0.0,0.0,0.28,15.06,35.62,0.0,0.0,100.0
10/26/2021,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,14.67,19.55,0.0,0.0,0.0,0.0,0.28,15.04,35.55,0.0,0.0,99.99
10/27/2021,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,14.67,19.55,0.0,0.0,0.0,0.0,0.28,15.04,35.55,0.0,0.0,99.99
10/28/2021,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,14.67,19.55,0.0,0.0,0.0,0.0,0.28,15.04,35.55,0.0,0.0,99.99
10/29/2021,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,14.74,19.75,0.0,0.0,0.0,0.0,0.28,15.05,35.28,0.0,0.0,100.0
11/01/2021,0.0,0.0,15.05,0.0,0.0,0.0,0.0,0.0,14.56,19.09,0.0,0.0,0.0,0.0,0.28,15.23,35.79,0.0,0.0,100.0
11/02/2021,0.0,0.0,15.06,0.0,0.0,0.0,0.0,0.0,14.54,19.2,0.0,0.0,0.0,0.0,0.28,15.2,35.73,0.0,0.0,100.01
11/03/2021,0.0,0.0,15.06,0.0,0.0,0.0,0.0,0.0,14.54,19.2,0.0,0.0,0.0,0.0,0.28,15.2,35.73,0.0,0.0,100.01
11/04/2021,0.0,0.0,14.99,0.0,0.0,0.0,0.0,0.0,14.48,19.25,0.0,0.0,0.0,0.0,0.28,15.19,35.81,0.0,0.0,100.0
11/05/2021,0.0,0.0,14.91,0.0,0.0,0.0,0.0,0.0,14.65,19.55,0.0,0.0,0.0,0.0,0.28,15.1,35.51,0.0,0.0,100.0
11/08/2021,0.0,0.0,14.85,0.0,0.0,0.0,0.0,0.0,0.0,20.49,0.0,0.0,0.0,0.0,0.27,14.79,19.83,15.09,14.67,99.98999999999998
11/09/2021,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,0.0,0.32,14.79,19.9,15.21,14.65,100.0
11/10/2021,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,0.0,0.32,14.79,19.9,15.21,14.65,100.0
11/11/2021,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,20.38,0.0,0.0,0.0,0.0,0.31,14.77,19.89,15.26,14.49,100.0
11/12/2021,0.0,0.0,14.91,0.0,0.0,0.0,0.0,0.0,0.0,20.25,0.0,0.0,0.0,0.0,0.24,14.72,19.91,15.38,14.61,100.02
11/15/2021,0.0,0.0,14.87,0.0,0.0,0.0,0.0,0.0,0.0,20.53,0.0,0.0,0.0,0.0,0.24,14.62,19.83,15.39,14.51,99.99
11/16/2021,0.0,0.0,14.87,0.0,0.0,0.0,0.0,0.0,0.0,20.53,0.0,0.0,0.0,0.0,0.24,14.62,19.83,15.39,14.51,99.99
11/17/2021,0.0,0.0,14.87,0.0,0.0,0.0,0.0,0.0,0.0,20.53,0.0,0.0,0.0,0.0,0.24,14.62,19.83,15.39,14.51,99.99
11/18/2021,0.0,0.0,14.87,0.0,0.0,0.0,0.0,0.0,0.0,20.53,0.0,0.0,0.0,0.0,0.24,14.62,19.83,15.39,14.51,99.99
11/19/2021,0.0,0.0,14.86,0.0,0.0,0.0,0.0,0.0,0.0,20.59,0.0,0.0,0.0,0.0,0.24,14.63,19.87,15.3,14.5,99.99
